args.seed :  0
args.device :  cuda:0
args.train:  True
args.infer:  False
args.file_path:  /home/emforce77/TabFormer-main/modular_regression/multiple_scenario_data_fin2.xml
Data dimension: 300, Max sequence length: 30, num_intent : 7
Data Split Over
expanded_train_data_num 9663
expanded_val_data_num 2040
expanded_test_data_num 2050
col_dim 5 region_len 60 sequence_len 30 num_classes 445
Filtered data count: 111
train_loader
create_model
The model has 1,102,355 trainable parameters
trainer
Epoch [56/300], Loss: 346.0457, Val Loss: 340.9240, MAE: 8.1358, RMSE: 18.4379, Non-zero MAE: 24.9932, Non-zero RMSE: 38.6874, Sequence Accuracy: 0.4889, Non-zero Accuracy: 0.0145, Intent Accuracy: 0.4750
Epoch [57/300], Loss: 346.4494, Val Loss: 338.9248, MAE: 8.1129, RMSE: 18.3937, Non-zero MAE: 24.9852, Non-zero RMSE: 38.7026, Sequence Accuracy: 0.4894, Non-zero Accuracy: 0.0147, Intent Accuracy: 0.5711
Epoch [58/300], Loss: 345.6634, Val Loss: 338.1763, MAE: 8.0962, RMSE: 18.3744, Non-zero MAE: 24.9843, Non-zero RMSE: 38.6644, Sequence Accuracy: 0.4897, Non-zero Accuracy: 0.0146, Intent Accuracy: 0.5250
Epoch [59/300], Loss: 344.7550, Val Loss: 337.7014, MAE: 8.0719, RMSE: 18.3623, Non-zero MAE: 25.0213, Non-zero RMSE: 38.7319, Sequence Accuracy: 0.4883, Non-zero Accuracy: 0.0146, Intent Accuracy: 0.5074
Epoch [60/300], Loss: 343.0243, Val Loss: 336.5835, MAE: 8.0635, RMSE: 18.3280, Non-zero MAE: 24.9598, Non-zero RMSE: 38.6291, Sequence Accuracy: 0.4883, Non-zero Accuracy: 0.0143, Intent Accuracy: 0.5078
Epoch [61/300], Loss: 342.7906, Val Loss: 335.4838, MAE: 8.0538, RMSE: 18.3001, Non-zero MAE: 24.9246, Non-zero RMSE: 38.5749, Sequence Accuracy: 0.4869, Non-zero Accuracy: 0.0142, Intent Accuracy: 0.5554
Epoch [62/300], Loss: 340.9766, Val Loss: 334.9974, MAE: 8.0515, RMSE: 18.2865, Non-zero MAE: 24.8774, Non-zero RMSE: 38.4254, Sequence Accuracy: 0.4838, Non-zero Accuracy: 0.0143, Intent Accuracy: 0.5132
Epoch [63/300], Loss: 338.7994, Val Loss: 333.0506, MAE: 8.0361, RMSE: 18.2337, Non-zero MAE: 24.8214, Non-zero RMSE: 38.4281, Sequence Accuracy: 0.4847, Non-zero Accuracy: 0.0145, Intent Accuracy: 0.5755
Epoch [64/300], Loss: 338.2068, Val Loss: 331.5792, MAE: 8.0365, RMSE: 18.1957, Non-zero MAE: 24.7292, Non-zero RMSE: 38.2642, Sequence Accuracy: 0.4845, Non-zero Accuracy: 0.0147, Intent Accuracy: 0.5255
Epoch [65/300], Loss: 336.5435, Val Loss: 330.8412, MAE: 8.0223, RMSE: 18.1752, Non-zero MAE: 24.7196, Non-zero RMSE: 38.2602, Sequence Accuracy: 0.4856, Non-zero Accuracy: 0.0146, Intent Accuracy: 0.5863
Epoch [66/300], Loss: 335.9193, Val Loss: 330.0739, MAE: 8.0129, RMSE: 18.1535, Non-zero MAE: 24.6659, Non-zero RMSE: 38.1510, Sequence Accuracy: 0.4829, Non-zero Accuracy: 0.0143, Intent Accuracy: 0.5564
Epoch [67/300], Loss: 333.6542, Val Loss: 328.6705, MAE: 8.0008, RMSE: 18.1160, Non-zero MAE: 24.6314, Non-zero RMSE: 38.1262, Sequence Accuracy: 0.4817, Non-zero Accuracy: 0.0141, Intent Accuracy: 0.5314
Epoch [68/300], Loss: 331.7690, Val Loss: 327.8370, MAE: 7.9741, RMSE: 18.0929, Non-zero MAE: 24.6321, Non-zero RMSE: 38.1009, Sequence Accuracy: 0.4820, Non-zero Accuracy: 0.0142, Intent Accuracy: 0.5348
Epoch [69/300], Loss: 331.0649, Val Loss: 327.3406, MAE: 7.9655, RMSE: 18.0783, Non-zero MAE: 24.6092, Non-zero RMSE: 38.0583, Sequence Accuracy: 0.4798, Non-zero Accuracy: 0.0140, Intent Accuracy: 0.5407
Epoch [70/300], Loss: 332.1385, Val Loss: 326.8315, MAE: 7.9590, RMSE: 18.0636, Non-zero MAE: 24.5965, Non-zero RMSE: 38.0785, Sequence Accuracy: 0.4815, Non-zero Accuracy: 0.0143, Intent Accuracy: 0.5299
Epoch [71/300], Loss: 329.0951, Val Loss: 325.4506, MAE: 7.9323, RMSE: 18.0252, Non-zero MAE: 24.5648, Non-zero RMSE: 38.0036, Sequence Accuracy: 0.4811, Non-zero Accuracy: 0.0139, Intent Accuracy: 0.5490
Epoch [72/300], Loss: 327.7063, Val Loss: 323.6624, MAE: 7.9293, RMSE: 17.9776, Non-zero MAE: 24.4781, Non-zero RMSE: 37.8968, Sequence Accuracy: 0.4771, Non-zero Accuracy: 0.0139, Intent Accuracy: 0.6309
Epoch [73/300], Loss: 326.0965, Val Loss: 321.8461, MAE: 7.9709, RMSE: 17.9289, Non-zero MAE: 24.2434, Non-zero RMSE: 37.6251, Sequence Accuracy: 0.4774, Non-zero Accuracy: 0.0141, Intent Accuracy: 0.5559
Epoch [74/300], Loss: 322.6876, Val Loss: 320.4680, MAE: 7.9622, RMSE: 17.8887, Non-zero MAE: 24.1678, Non-zero RMSE: 37.5332, Sequence Accuracy: 0.4785, Non-zero Accuracy: 0.0148, Intent Accuracy: 0.5662
Epoch [75/300], Loss: 321.1118, Val Loss: 319.3077, MAE: 7.9091, RMSE: 17.8560, Non-zero MAE: 24.2164, Non-zero RMSE: 37.5532, Sequence Accuracy: 0.4783, Non-zero Accuracy: 0.0140, Intent Accuracy: 0.5863
Epoch [76/300], Loss: 319.2128, Val Loss: 318.0639, MAE: 7.9009, RMSE: 17.8216, Non-zero MAE: 24.1579, Non-zero RMSE: 37.4831, Sequence Accuracy: 0.4749, Non-zero Accuracy: 0.0143, Intent Accuracy: 0.5814
Epoch [77/300], Loss: 317.4683, Val Loss: 316.8913, MAE: 7.8814, RMSE: 17.7873, Non-zero MAE: 24.1012, Non-zero RMSE: 37.4324, Sequence Accuracy: 0.4727, Non-zero Accuracy: 0.0141, Intent Accuracy: 0.5961
Epoch [78/300], Loss: 315.9734, Val Loss: 317.2054, MAE: 7.8086, RMSE: 17.7938, Non-zero MAE: 24.2368, Non-zero RMSE: 37.5799, Sequence Accuracy: 0.4743, Non-zero Accuracy: 0.0138, Intent Accuracy: 0.5564
Epoch [79/300], Loss: 314.1843, Val Loss: 314.7452, MAE: 7.8208, RMSE: 17.7283, Non-zero MAE: 24.0780, Non-zero RMSE: 37.3586, Sequence Accuracy: 0.4724, Non-zero Accuracy: 0.0138, Intent Accuracy: 0.6000
