args.seed :  0
args.device :  cuda:3
args.train:  True
args.infer:  False
args.file_path:  /home/emforce77/TabFormer-main/modular_regression/multiple_scenario_data_fin2.xml
Data dimension: 300, Max sequence length: 30, num_intent : 7
expanded_train_data_num 9663
expanded_val_data_num 2040
expanded_test_data_num 2050
Data Split Over
col_dim 5 region_len 60 sequence_len 30 num_classes 445
Filtered data count: 111
train_loader
create_model
The model has 42,280,519 trainable parameters
trainer
Epoch [78/300], Loss: 132.9551, Val Loss: 163.3231, MAE: 5.7738, RMSE: 12.7789, Non-zero MAE: 18.6094, Non-zero RMSE: 26.1118, Sequence Accuracy: 0.5251, Non-zero Accuracy: 0.0131, Intent Accuracy: 0.8574
Epoch [79/300], Loss: 132.2269, Val Loss: 164.1245, MAE: 5.7952, RMSE: 12.8107, Non-zero MAE: 18.6188, Non-zero RMSE: 26.2221, Sequence Accuracy: 0.5214, Non-zero Accuracy: 0.0136, Intent Accuracy: 0.8569
Epoch [80/300], Loss: 131.4141, Val Loss: 164.8463, MAE: 5.8099, RMSE: 12.8378, Non-zero MAE: 18.5722, Non-zero RMSE: 26.1564, Sequence Accuracy: 0.5257, Non-zero Accuracy: 0.0131, Intent Accuracy: 0.8574
Epoch [81/300], Loss: 131.4798, Val Loss: 163.9413, MAE: 5.8457, RMSE: 12.8026, Non-zero MAE: 18.4638, Non-zero RMSE: 26.1111, Sequence Accuracy: 0.5161, Non-zero Accuracy: 0.0140, Intent Accuracy: 0.8525
Epoch [82/300], Loss: 131.3144, Val Loss: 163.4694, MAE: 5.7643, RMSE: 12.7839, Non-zero MAE: 18.6207, Non-zero RMSE: 26.1989, Sequence Accuracy: 0.5236, Non-zero Accuracy: 0.0128, Intent Accuracy: 0.8593
Epoch [83/300], Loss: 130.6927, Val Loss: 163.2060, MAE: 5.7595, RMSE: 12.7729, Non-zero MAE: 18.6676, Non-zero RMSE: 26.0954, Sequence Accuracy: 0.5243, Non-zero Accuracy: 0.0126, Intent Accuracy: 0.8593
Epoch [84/300], Loss: 130.0944, Val Loss: 163.7739, MAE: 5.7860, RMSE: 12.7962, Non-zero MAE: 18.6003, Non-zero RMSE: 26.1021, Sequence Accuracy: 0.5252, Non-zero Accuracy: 0.0134, Intent Accuracy: 0.8574
Epoch [85/300], Loss: 129.6883, Val Loss: 163.5162, MAE: 5.8215, RMSE: 12.7856, Non-zero MAE: 18.4883, Non-zero RMSE: 26.0183, Sequence Accuracy: 0.5221, Non-zero Accuracy: 0.0137, Intent Accuracy: 0.8574
Epoch [86/300], Loss: 128.9947, Val Loss: 163.9022, MAE: 5.8239, RMSE: 12.8005, Non-zero MAE: 18.5190, Non-zero RMSE: 26.1092, Sequence Accuracy: 0.5201, Non-zero Accuracy: 0.0137, Intent Accuracy: 0.8525
Epoch [87/300], Loss: 129.2395, Val Loss: 165.4104, MAE: 5.8157, RMSE: 12.8600, Non-zero MAE: 18.6734, Non-zero RMSE: 26.2146, Sequence Accuracy: 0.5245, Non-zero Accuracy: 0.0127, Intent Accuracy: 0.8520
Epoch [88/300], Loss: 129.4902, Val Loss: 164.9480, MAE: 5.8090, RMSE: 12.8410, Non-zero MAE: 18.5797, Non-zero RMSE: 26.2367, Sequence Accuracy: 0.5218, Non-zero Accuracy: 0.0134, Intent Accuracy: 0.8569
Epoch [89/300], Loss: 127.7227, Val Loss: 165.0850, MAE: 5.8231, RMSE: 12.8472, Non-zero MAE: 18.6015, Non-zero RMSE: 26.1459, Sequence Accuracy: 0.5275, Non-zero Accuracy: 0.0142, Intent Accuracy: 0.8525
Epoch [90/300], Loss: 127.4307, Val Loss: 165.3332, MAE: 5.8510, RMSE: 12.8571, Non-zero MAE: 18.4903, Non-zero RMSE: 26.1347, Sequence Accuracy: 0.5245, Non-zero Accuracy: 0.0139, Intent Accuracy: 0.8569
Epoch [91/300], Loss: 127.4185, Val Loss: 165.4676, MAE: 5.8130, RMSE: 12.8615, Non-zero MAE: 18.5735, Non-zero RMSE: 26.1837, Sequence Accuracy: 0.5279, Non-zero Accuracy: 0.0135, Intent Accuracy: 0.8569
Early stopping triggered at epoch 91
Best model saved as './training_results_final2/tabgpt2_best_model.pth'
Test Results - Loss: 178.3452, MAE: 5.9090, RMSE: 13.2318, Non-zero MAE: 19.2435, Non-zero RMSE: 27.2409, Sequence Accuracy: 0.5423, Non-zero Accuracy: 0.0136, Intent Accuracy: 0.8322
